Type;Title;Description
Cyber;Office Ransomware Attack;Hackers lock the small utility office computers, halting all customer billing and administrative work.
Cyber;Chemical Dosing Manipulation;Attackers breach the plant control system online to change chemical levels to dangerous amounts.
Cyber;Compromised Remote Access;Criminals use an operator's weak password to log into the treatment network from a home computer.
Cyber;Outsourced Vendor Malware;Hackers hide a virus inside a software update from a third-party IT vendor to secretly enter the network.
Cyber;Control System Wiper;A destructive virus deletes everything on the main plant computer, making the control system useless.
Cyber;Operator Phishing Email;Attackers send trick emails to the plant operator to steal passwords or install network viruses.
Cyber;Insider Process Sabotage;A disgruntled employee uses valid logins to manipulate pumps and sabotage treatment machinery.
Cyber;Payment Portal DDoS;Activist groups flood the online bill payment page with fake traffic, crashing customer access.
Cyber;False Control Commands;Hackers send false electronic commands to force distribution pumps or valves to turn off.
Cyber;Asset Map Theft;Hackers steal digital asset maps and process flow diagrams to plan a physical attack on the network.
Cyber;Office Router Exploit;Attackers exploit weaknesses in basic office internet routers to slip inside the operational network.
Cyber;Infected USB Drive;An operator plugs an infected USB stick into a plant computer, bypassing the network security gap.
Cyber;Logging Software Exploit;Hackers use a global defect in common software code to run malicious commands on utility logging servers.
Cyber;Credential Brute Force;Automated programs test thousands of passwords to break into remote well monitoring tools.
Cyber;Telemetry Data Spoofing;Hackers alter sensor data to show a storage tank is full when it is actually running dry.
Cyber;Local Supplier Breach;Hackers breach a local chemical distributor's network, disrupting scheduled chlorine deliveries.
Cyber;Fake Login Page;Criminals trick employees into using a fake link that steals their email and system passwords.
Cyber;Personal Device Infection;An operator connects a personal laptop to the plant Wi-Fi, accidentally spreading a network virus.
Cyber;Customer Data Theft;Hackers find a loophole in the simple online billing system to download private citizen records.
Cyber;Delayed Logic Bomb;A malicious contractor hides code in a system update that suddenly shuts down well pumps weeks later.
Physical;Rural Substation Attack;Attackers shoot at the local electrical substation powering the facility, causing a total plant blackout.
Physical;Water Main Sabotage;Saboteurs use heavy tools to break a major distribution pipe, dropping water pressure town-wide.
Physical;Finished Water Contamination;Intruders scale a chain-link fence to dump toxic substances into an open finished water reservoir.
